category,serial,title,composer,arranger,lyrics,translator,language,voicing,with_boys,accompanied,instruments,music_present,original_piece,recording_link,comments
א,47,בוא אליי פרפר נחמד,דתיה בן דור,משה רסיוק,פניה ברגשטיין,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,48,עוד שדי פורח (זהבי-אלדמע),דוד זהבי,גיל אלדמע,פניה ברגשטיין,,עיברית,SA,FALSE,None,,TRUE,FALSE,,
א,49,אורחה במדבר,דוד זהבי,אורי גבעון,י. פיכמן,,עברית,SAB,TRUE,None,,TRUE,FALSE,,
א,50,על כל אלה,נעמי שמר,גיל אלדמע,נעמי שמר,,עיברית,SAA,FALSE,None,,TRUE,FALSE,,
א,51,ההד (סרוסי),ראובן סרוסי,,אנטואן דה סנט-אקזופרי,אריה לרנר,עיברית,SSMMAA + 4 Soli,FALSE,None,,TRUE,TRUE,,
א,52,חניתה (לברי),מרק לברי,ש. שלום,,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,53,שיר ערש לצבעים,נעמי שמר,פנינה ענבר,נעמי שמר,,עיברית,SAT,TRUE,None,,TRUE,FALSE,,
א,54,מול חלון ביתנו,דוד שני,גיל אלדמע,לאה גולדברג,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,55,אור,נעמי שמר,גיל אלדמע,נעמי שמר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,56,העיירה בוערת,,,,,עיברית,,,,,,,,
א,57,החופש הגדול,יחזקאל בראון,,ע. הלל,,עיברית,SSA,FALSE,TRUE,"כלי, כלי",TRUE,FALSE,,
